Length	Width	Height	Mass	Customers	Pallet
2000	1560	2000	3672	1	0
2000	1560	2000	3672	1	0
2000	1560	2000	3672	1	0
2000	1560	2000	3672	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
