Length	Width	Height	Mass	Customers	Pallet
2200	1560	2200	3672	1	0
2200	1560	2200	3672	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
700	680	700	350	1	0
700	680	700	350	1	0
700	680	700	350	1	0
700	680	700	350	1	0
700	680	700	350	1	0
700	680	700	350	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
700	680	700	350	1	0
700	680	700	350	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
700	680	700	350	1	0
